"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"IND","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",69.982,
"IND","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",163.702,
"IND","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",171.582,
"IND","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",186.234,
"IDN","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",153.464,
"IDN","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",149.251,
"IDN","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",168.173,
"IDN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",177.422,
"IDN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",166.988,
"IDN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",168.552,
"ISR","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",1598.151,
"ISR","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",1677.671,
"ISR","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1830.899,
"ISR","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1880.82,
"ISR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",892.143,
"ISR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",912.353,
"ISR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",949.038,
"ISR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",962.097,
"LVA","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",901.578,
"LVA","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",961.078,
"LVA","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1118.14,
"LVA","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1275.183,
"LVA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",712.224,
"LVA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",715.336,
"LVA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",749.142,
"LVA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",798.824,
"LTU","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",1397.047,
"LTU","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",1475.486,
"LTU","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1622.141,
"LTU","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1810.376,
"LTU","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",1952.087,"P"
"LTU","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",700.404,
"LTU","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",754.969,
"LTU","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",792.105,
"LTU","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",916.187,
"LTU","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",987.903,"P"
"RUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",800.872,
"RUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",868.32,
"RUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1019.054,
"RUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1131.47,
"RUS","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",605.399,
"RUS","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",652.68,
"RUS","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",694.893,
"RUS","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",718.791,
"SVN","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",1991.463,
"SVN","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",2045.078,
"SVN","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",2228.9,
"SVN","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",2404.424,
"SVN","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",2882.089,"P"
"SVN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",746.761,
"SVN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",787.567,
"SVN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",831.835,
"SVN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",899.047,
"SVN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",901.064,"P"
"ZAF","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",453.446,
"ZAF","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",458.801,
"ZAF","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",475.648,
"ZAF","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",603.145,
"ZAF","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",613.553,
"ZAF","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",627.884,
"BGR","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",884.791,
"BGR","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",953.796,
"BGR","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1054.018,
"BGR","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1116.1,
"BGR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",713.561,
"BGR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",738.895,
"BGR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",730.045,
"BGR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",725.947,
"HRV","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",1382.53,
"HRV","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",1454.959,
"HRV","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1558.85,
"HRV","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1649.781,
"HRV","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",292.842,
"HRV","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",307.686,
"HRV","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",342.121,
"HRV","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",364.424,
"CYP","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",958.318,
"CYP","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",1002.475,
"CYP","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1116.914,
"CYP","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1537.815,
"CYP","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",1309.02,
"CYP","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",1381.588,
"CYP","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",1489.514,
"CYP","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",1184.417,
"MLT","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",2175.425,
"MLT","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",2335.542,
"MLT","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",2425.117,
"MLT","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",1276.083,
"MLT","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",1355.8,
"MLT","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",1394.678,
"ROU","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",979.853,
"ROU","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",1112.029,
"ROU","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1326.964,
"ROU","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1524.456,
"ROU","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",271.108,
"ROU","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",301.83,
"ROU","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",337.332,
"ROU","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",370.561,
